"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Channel Islands","CHI","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1024161379104","16.4554473464699","19.6304843856763","19.1321703477107","17.9908667468651","20.3876149592426","17.8865327182057","17.2156516073869","14.4318095053545","12.9719138208188","9.99470072554185","11.7543194333575","15.8400216446503","13.6468925829064","15.8056255939306","13.523766590347","11.0753834103461","10.6807872807768","10.9373831302795","11.2703856107455",
"China","CHN","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47818725006504","8.88318686087166","13.9513762003186","19.4030829587814","12.7605817978307","3.32829361712064","11.8294383684179","13.0334347329389","14.5424772758377","13.2449196310652","30.8056810780689","18.4850882171384","17.4128705395696","18.9839150124794","18.3319966338468","13.9502436172677",
"Cameroon","CMR","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5962017322494","36.0993739060138","27.1499537575395","34.5039030396077","35.5516403571555","50.2808626481368","60.6748961410546","47.9108332305458","50.2850537941401","50.1080615901576","38.8278478938804","41.5438202062153","33.1037330218181","33.1560796815293","27.2865848108101","21.4081532955508",
"Congo, Dem. Rep.","COD","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2876103901087","42.7708519519867","21.0194481664053","19.5953843479672","23.2717586029168","23.7940957224048","25.4608927587122","37.7776446538408","20.9201980969009","15.5272928145025","22.0259630200919","26.3228307208059","27.4736902653086","26.731098572396","23.4478955538516","23.2829286708129","19.0856603906161",
"Congo, Rep.","COG","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1000673830144","49.5361466686641","48.1667671471005","64.316567391837","126.953312127431","126.254244423562","175.806648074058","169.560581320617","112.321190266273","87.6469437325252","106.86035822365","99.5397830634975","56.2382835035906","92.2073758764338","40.602087413713","20.8026386346916",
"Colombia","COL","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.39951959137042","6.05959676427615","6.9844992061593","6.99574393983882","7.50112856625068","6.0195042997757","7.16488752562367","8.18671140124717","8.84507971589192","8.00755026329739","7.89116655816918","8.14240427449597","8.40626182590531","7.00331179238649","7.11593823374303","",
"Comoros","COM","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.693572792238","139.604859987434","114.713732499367","138.167505535789","96.9411143396397","82.9899215536917","83.0227326928571","64.2527909492269","65.243535224144","54.767596184346","63.1833217832026","66.8538147079328","43.6044252965338","49.6109307901442","44.7710426152624","41.5370274579477",
"Cabo Verde","CPV","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5612105551986","40.0589354691509","38.28001297626","37.8637369059702","39.9582935121528","41.151079905054","39.0336199289475","33.0734550679718","25.7553108912567","23.3627640887248","16.6030996763986","25.8344841354785","32.1130397020039","38.7458383199874","37.9033144469926","45.8574041745384",
"Costa Rica","CRI","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2384978379986","28.3335758547239","26.3982055929098","31.4183653576315","30.4100829745204","32.5875208360466","26.0039274446905","20.1061008107709","22.8152841236812","20.8338315543509","21.5104348851859","22.5588029809341","24.155596958276","19.5965870022447","19.107887046218","19.6976626982327",
"Caribbean small states","CSS","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9096899292683","12.5975493127276","12.8264320854183","12.0214993410968","10.6704466612703","12.1212339124837","11.8223874450131","11.4361798203528","11.413384263248","13.9208574054181","16.2805386233934","19.1689729233451","19.2000930687626","21.019003214209","23.4912607434705","27.4171911892382",
"Cuba","CUB","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.764829477366","61.7699626696091","57.366335494695","45.3121687618372","35.4880649276831","24.6134480158213","16.5792881117779","15.3580221004547","19.1654807348673","19.3871522203596","17.7809714583167","17.2390502691705","28.3716852065639","28.1466563507249","34.058770030068","45.9499749368054",
"Germany","DEU","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.45817794000483","14.4518592084192","7.08498664102289","4.31303959726426","7.24933577008752","7.9978229280732","7.24128456129082","6.81003727216702","13.6113952644345","16.4930310017775","19.1109909923222","22.6277850089386","23.7542662203888","21.1014338165527","24.7675051329024",
